Types of use,Baden-Württemberg (Area in sq km),Bayern (Area in sq km),Berlin (Area in sq km),Brandenburg (Area in sq km),Bremen (Area in sq km),Hamburg (Area in sq km),Hessen (Area in sq km),Mecklenburg-Vorpommern (Area in sq km),Niedersachsen (Area in sq km),Nordrhein-Westfalen (Area in sq km),Rheinland-Pfalz (Area in sq km),Saarland (Area in sq km),Sachsen (Area in sq km),Sachsen-Anhalt (Area in sq km),Schleswig-Holstein (Area in sq km),Thüringen (Area in sq km),Year
Trees and shrubs,179.14,892.17,7.24,262.7,5.43,19.68,125.5,215.11,598.38,545.93,437.16,14.25,91.69,548.11,56.15,122.77,2018
Heath,12.9,18.84,0.06,129.44,0.66,5.24,1.22,17.17,235.99,50.1,3.69,0.97,27.3,142.01,22.14,12.94,2018
Moor,20.09,128.33,0.45,1.5,0.32,1.22,0.81,28.96,516.59,14.17,0.8,0.02,0.62,1.12,88.56,0.48,2018
Mire,3.22,22.91,0.55,38.53,2.48,2.2,4.46,132.29,66.46,14.07,5.23,0.28,5.17,37.8,41.59,4.88,2018
"Infertile land, area without vegetation",189.89,1960.74,1.95,339.15,2.42,6.24,84.56,231.17,305.78,183.09,35.26,15.22,233.74,1.31,236.72,78.37,2018
Water body,390.66,1216.3,58.48,998.51,49.15,61.57,292.97,1333.39,1017.54,627.03,283.86,25.73,438.27,448.28,765.18,194.9,2018
Body of running water,282.66,503.23,29.97,346.13,39.07,42.91,218.52,201.05,642.54,333.39,219.01,20.49,145.81,243.37,274.71,96.78,2018
Port basin,5.17,1.69,0.6,0.73,5.67,7.27,1.34,6.14,11.94,8.14,4.51,0.11,0.53,1.88,18.04,0.0,2018
Body of standing water,102.82,711.39,27.91,651.66,4.41,7.13,73.1,935.32,338.46,285.5,60.34,5.13,291.93,203.03,357.22,98.12,2018
Sea,0.0,0.0,0.0,0.0,0.0,4.26,0.0,190.88,24.59,0.0,0.0,0.0,0.0,0.0,115.22,0.0,2018
Housing area,3320.72,5382.61,493.35,2036.77,184.93,351.0,1976.43,1286.28,4477.32,5686.38,1698.18,394.2,1898.29,1569.48,1430.1,1247.03,2019
Residential building area,1559.7,2180.51,221.26,657.28,69.13,168.12,920.46,386.53,2058.63,2439.62,699.17,204.47,866.93,372.46,684.34,335.8,2019
Industrial and commercial area,738.07,923.2,66.7,449.28,51.44,67.9,345.29,224.99,803.31,1027.1,294.91,76.11,354.73,306.35,201.14,279.99,2019
